codeId,code,id,name,source,version
232,232,aVskaPY4sCEGSIDCDGMKy_Q,**CONTROLLER 232,SourceJ1939Id,000000000000026b
0,0,a-YHiK6OXuESyj7fZ6cCykw,Controller 0 - Engine,SourceJ1708Id,0000000000000002
1,1,aZSuwYP5Gq0a2nnaRS3GUfg,Controller 1 - Engine,SourceJ1708Id,0000000000000003
2,2,amrpi1HWvQku4wb7B1jqbqA,Controller 2 - Engine,SourceJ1708Id,0000000000000004
3,3,aC1g85vw3ZEiu833G9aj0EA,Controller 3 - Engine,SourceJ1708Id,0000000000000005
4,4,a2XEJa4Tdg0K65cTCN9aKmw,Controller 4 - Engine,SourceJ1708Id,0000000000000006
5,5,aLu-6chgVvkmJiJicj6usyg,Controller 5 - Engine,SourceJ1708Id,0000000000000007
6,6,aDM-JLd6hokuD0QaiPuiVGw,Controller 6 - Engine,SourceJ1708Id,0000000000000008
7,7,aSQvnNQK-hU2BGTH7hPu0PQ,Controller 7 - Engine,SourceJ1708Id,0000000000000009
8,8,aCOS1r56UPkmWJk3X7xwGOw,Controller 8 - Brakes tractor,SourceJ1708Id,000000000000000a
9,9,a7UzsekeMp0KuNlT2eBWPPg,Controller 9 - Brakes tractor,SourceJ1708Id,000000000000000b
10,10,aajEmaBt9_EmjoB-cQBV3Mg,Controller 10 - Brakes trailer,SourceJ1708Id,000000000000000c
11,11,a-BMB_4ORKE-xy63dzzhMSA,Controller 11 - Brakes trailer,SourceJ1708Id,000000000000000d
12,12,akrK2_bdDWEWhVmn4LBokdQ,Controller 12 - Tires tractor,SourceJ1708Id,000000000000000e
13,13,atzBpk6GvdE-eGsvHAVVSOg,Controller 13 - Tires tractor,SourceJ1708Id,000000000000000f
14,14,aXMKDehO-jUmT0y25dNcFlw,Controller 14 - Tires trailer,SourceJ1708Id,0000000000000010
15,15,a-L3RKR5_KkGjQYxy8Y4xdw,Controller 15 - Tires trailer,SourceJ1708Id,0000000000000011
16,16,aBdNwN1vEHUKNJsIdamVYtw,Controller 16 - Suspension tractor,SourceJ1708Id,0000000000000012
17,17,apeNwxJqfrUCehb6E9947hw,Controller 17 - Suspension tractor,SourceJ1708Id,0000000000000013
18,18,a402cNSqSgUWw9a3Wkuq6yw,Controller 18 - Suspension trailer,SourceJ1708Id,0000000000000014
19,19,aUGU5luZS_Eu-SVWPavekRA,Controller 19 - Suspension trailer,SourceJ1708Id,0000000000000015
20,20,az_AOrokogUSFSWj6YPdDSw,Controller 20 - Transmission,SourceJ1708Id,0000000000000016
21,21,axIzALUM1R0mZ0X9EPegj2w,Controller 21 - Transmission,SourceJ1708Id,0000000000000017
22,22,a5nNHTP7pLkOQNWGhB62QaA,Controller 22 - Transmission,SourceJ1708Id,0000000000000018
23,23,aO-43X5KDq0Sm2pvUGqNJAQ,Controller 23 - Transmission,SourceJ1708Id,0000000000000019
24,24,aioarL2imJEOixyZhtiwDlg,Controller 24 - Transmission,SourceJ1708Id,000000000000001a
25,25,aFp34Dji9wESs9pgJh7_Q1w,Controller 25 - Transmission,SourceJ1708Id,000000000000001b
26,26,aLHnI5683SU6R7zLyAoOOCw,Controller 26 - Transmission,SourceJ1708Id,000000000000001c
27,27,azOLbUO7lskm92oAg8ymwdg,Controller 27 - Transmission,SourceJ1708Id,000000000000001d
28,28,aMn21K29qCU-H6i7htutKLg,Controller 28 - Electrical charging system,SourceJ1708Id,000000000000001e
29,29,aSgEofkTVNkSI1Ooy8Me_Yw,Controller 29 - Electrical charging system,SourceJ1708Id,000000000000001f
30,30,aRHP4oupqy0ymJrOEFbxoTw,Controller 30 - Electrical,SourceJ1708Id,0000000000000020
31,31,a1B4GXK19zEqaN6y7Vnkq8g,Controller 31 - Electrical,SourceJ1708Id,0000000000000021
32,32,acnF4bHXVJUK_tAxf4Lc3iA,Controller 32 - Electrical,SourceJ1708Id,0000000000000022
