amberWarningLamp,controller,count,dateTime,device,diagnostic,failureMode,faultState,faultStates,id,malfunctionLamp,protectWarningLamp,redStopLamp,severity,diagnosticSeverity,sourceAddress,recommendation,effectOnComponent,riskOfBreakdown
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:01:02+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3C87,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:05:50+00:00,{'id': 'b103'},{'id': 'ac6izgCDNSUmB1dGxAW47gQ'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3C88,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:17:25.004000+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3C89,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:20:18+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3C8A,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:30:06.004000+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3C8B,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:30:31+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3CAA,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 08:33:59.004000+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3CAB,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 11:44:02+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3CAC,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 12:05:36+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseOfFirmwareUpdateId'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3CB0,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 17:48:33+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3CCC,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-17 18:02:53+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3CCD,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-18 06:29:17.859000+00:00,{'id': 'b103'},{'id': 'aipGZwHSihU2SLOhKLrjpwA'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3CE3,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-18 06:29:29.832000+00:00,{'id': 'b103'},{'id': 'DiagnosticAccidentLevelAccelerationEventId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3CE4,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-18 14:08:37+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3D34,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-19 00:26:00+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3D35,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-19 19:43:35+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3DE5,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-21 19:35:36+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3DE6,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-22 15:06:53+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3E94,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-22 15:06:57.465000+00:00,{'id': 'b103'},{'id': 'DiagnosticAccidentLevelAccelerationEventId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3E93,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-22 19:14:30+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b3E95,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-22 20:51:11+00:00,{'id': 'b103'},{'id': 'ac6izgCDNSUmB1dGxAW47gQ'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3FA5,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-22 21:27:56+00:00,{'id': 'b103'},{'id': 'aeAx1iIdw7U28BQED9dJ7Fg'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b3FBB,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-23 23:15:31+00:00,{'id': 'b103'},{'id': 'aeAx1iIdw7U28BQED9dJ7Fg'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b410B,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-25 19:19:07+00:00,{'id': 'b103'},{'id': 'aeAx1iIdw7U28BQED9dJ7Fg'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b4254,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-26 19:06:29+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceHasBeenUnpluggedId'},NoFailureModeId,Pending,{'effectiveStatus': 'FaultStatusPendingId'},b4340,False,False,False,,,,,,
False,{'id': 'ControllerGoDeviceId'},1,2025-09-26 19:09:06+00:00,{'id': 'b103'},{'id': 'DiagnosticDeviceRestartedBecauseAllPowerWasRemovedId'},NoFailureModeId,Active,{'effectiveStatus': 'FaultStatusActiveId'},b4341,False,False,False,,,,,,
