latitude,longitude,speed,dateTime,device,id
37.7535248,-3.74402571,22,2025-09-17 08:03:49+00:00,{'id': 'b103'},b1D1AF08
37.7536011,-3.74405122,18,2025-09-17 08:03:51+00:00,{'id': 'b103'},b1D1AF09
37.7607918,-3.76445436,63,2025-09-17 08:07:17+00:00,{'id': 'b103'},b1D1AFFE
37.7608185,-3.76547837,68,2025-09-17 08:07:22+00:00,{'id': 'b103'},b1D1AFFF
37.7606926,-3.75267839,39,2025-09-17 08:06:04+00:00,{'id': 'b103'},b1D1AFD2
37.7607155,-3.75293446,39,2025-09-17 08:06:06+00:00,{'id': 'b103'},b1D1AFD3
37.7608452,-3.76207352,57,2025-09-17 08:07:05+00:00,{'id': 'b103'},b1D1AFF4
37.7607918,-3.76366091,66,2025-09-17 08:07:13+00:00,{'id': 'b103'},b1D1AFF5
37.7548294,-3.74753284,17,2025-09-17 08:04:28+00:00,{'id': 'b103'},b1D1AF62
37.754776,-3.74794245,29,2025-09-17 08:04:33+00:00,{'id': 'b103'},b1D1AF63
37.754879,-3.74809599,35,2025-09-17 08:04:35+00:00,{'id': 'b103'},b1D1AF64
37.755291,-3.74840331,55,2025-09-17 08:04:39+00:00,{'id': 'b103'},b1D1AF65
37.7562103,-3.74883842,41,2025-09-17 08:04:47+00:00,{'id': 'b103'},b1D1AF66
37.7570572,-3.74950409,44,2025-09-17 08:04:57+00:00,{'id': 'b103'},b1D1AF67
37.7583122,-3.74919677,53,2025-09-17 08:05:08+00:00,{'id': 'b103'},b1D1AF68
37.759079,-3.74901772,48,2025-09-17 08:05:14+00:00,{'id': 'b103'},b1D1AF69
37.7597427,-3.74927354,46,2025-09-17 08:05:20+00:00,{'id': 'b103'},b1D1AF6A
37.7607689,-3.75070715,0,2025-09-17 08:05:50.063000+00:00,{'id': 'b103'},b1D1AF88
37.7611504,-3.76650238,74,2025-09-17 08:07:27+00:00,{'id': 'b103'},b1D1B003
37.7545967,-3.74748158,12,2025-09-17 08:04:23+00:00,{'id': 'b103'},b1D1AF54
37.7546768,-3.74748158,20,2025-09-17 08:04:25.125000+00:00,{'id': 'b103'},b1D1AF55
37.753727,-3.74438405,41,2025-09-17 08:03:55+00:00,{'id': 'b103'},b1D1AF22
37.7541122,-3.74568963,50,2025-09-17 08:04:05+00:00,{'id': 'b103'},b1D1AF23
37.7544708,-3.7463553,42,2025-09-17 08:04:11+00:00,{'id': 'b103'},b1D1AF24
37.7545204,-3.74730229,28,2025-09-17 08:04:19+00:00,{'id': 'b103'},b1D1AF25
37.760231,-3.74968314,48,2025-09-17 08:05:25+00:00,{'id': 'b103'},b1D1AF74
37.7606926,-3.74996471,0,2025-09-17 08:05:34+00:00,{'id': 'b103'},b1D1AF75
37.7606926,-3.74996471,0,2025-09-17 08:05:35.063000+00:00,{'id': 'b103'},b1D1AF76
37.7607918,-3.75395846,35,2025-09-17 08:06:15+00:00,{'id': 'b103'},b1D1AFE4
37.7608452,-3.75457287,44,2025-09-17 08:06:20+00:00,{'id': 'b103'},b1D1AFE5
37.7608948,-3.75526404,44,2025-09-17 08:06:54.063000+00:00,{'id': 'b103'},b1D1AFE6
37.7608948,-3.75526404,55,2025-09-17 08:06:58+00:00,{'id': 'b103'},b1D1AFE7
37.7711372,-3.77502728,65,2025-09-17 08:09:37+00:00,{'id': 'b103'},b1D1B07B
37.7653999,-3.77295351,61,2025-09-17 08:08:15+00:00,{'id': 'b103'},b1D1B043
37.7657852,-3.77346563,55,2025-09-17 08:08:19+00:00,{'id': 'b103'},b1D1B044
37.772007,-3.77285123,65,2025-09-17 08:09:49+00:00,{'id': 'b103'},b1D1B0CC
37.7683449,-3.77766395,28,2025-09-17 08:09:02+00:00,{'id': 'b103'},b1D1B05D
37.7685509,-3.7776897,31,2025-09-17 08:09:05+00:00,{'id': 'b103'},b1D1B05E
37.7692909,-3.77761269,33,2025-09-17 08:09:14+00:00,{'id': 'b103'},b1D1B05F
37.7699585,-3.7773056,37,2025-09-17 08:09:22+00:00,{'id': 'b103'},b1D1B060
37.7701645,-3.77697277,52,2025-09-17 08:09:25+00:00,{'id': 'b103'},b1D1B061
37.7704697,-3.77635837,59,2025-09-17 08:09:29+00:00,{'id': 'b103'},b1D1B062
37.7734413,-3.76727033,50,2025-09-17 08:10:27+00:00,{'id': 'b103'},b1D1B1F0
37.767067,-3.77466869,44,2025-09-17 08:08:33+00:00,{'id': 'b103'},b1D1B04F
37.7673454,-3.77518082,53,2025-09-17 08:08:37+00:00,{'id': 'b103'},b1D1B050
37.7726974,-3.77067518,53,2025-09-17 08:10:08+00:00,{'id': 'b103'},b1D1B153
37.7618179,-3.76727033,68,2025-09-17 08:07:32+00:00,{'id': 'b103'},b1D1B01D
